#J	G0202	
#scanned warm
#Wavelength (Ang) transmission
19110.0 0.00016637
19120.0 0.00016601
19130.0 0.00014842
19140.0 0.00017776
19150.0 0.00017938
19160.0 0.00017376
19170.0 0.00013316
19180.0 0.0001287 
19190.0 0.00014058
19200.0 0.00013373
19210.0 0.00012406
19220.0 0.00017555
19230.0 0.00015253
19240.0 0.00017697
19250.0 9.0493e-05
19260.0 0.00014396
19270.0 0.00014749
19280.0 0.00013935
19290.0 0.00011953
19300.0 0.00014501
19310.0 7.8626e-05
19320.0 0.00017307
19330.0 0.00018942
19340.0 0.00010674
19350.0 0.0001435 
19360.0 0.00018025
19370.0 0.00013997
19380.0 0.0001149 
19390.0 0.00016842
19400.0 0.00011963
19410.0 0.00020195
19420.0 0.0001562 
19430.0 0.00011428
19440.0 0.00012747
19450.0 0.00016094
19460.0 0.00018844
19470.0 0.00013157
19480.0 9.4319e-05
19490.0 0.00011504
19500.0 0.00012327
19510.0 0.00014878
19520.0 0.00012912
19530.0 0.000194  
19540.0 0.00016672
19550.0 0.00014572
19560.0 0.00015411
19570.0 0.00012289
19580.0 0.0001457 
19590.0 0.00015952
19600.0 0.00015343
19610.0 0.00010956
19620.0 0.00020879
19630.0 0.00012724
19640.0 0.0001815 
19650.0 0.00013893
19660.0 0.00012721
19670.0 0.0002016 
19680.0 0.00010688
19690.0 0.00014273
19700.0 0.00018817
19710.0 0.00012342
19720.0 0.00010646
19730.0 0.00013968
19740.0 0.00013972
19750.0 8.9919e-05
19760.0 0.00013963
19770.0 0.00016394
19780.0 0.00012285
19790.0 0.00018506
19800.0 0.00011394
19810.0 8.0729e-05
19820.0 0.00017609
19830.0 0.0001684 
19840.0 0.0001024 
19850.0 0.00012411
19860.0 0.00013808
19870.0 0.00016828
19880.0 0.00018443
19890.0 0.00012326
19900.0 0.00014767
19910.0 9.8339e-05
19920.0 0.00017976
19930.0 0.00018074
19940.0 0.0001349 
19950.0 0.00010215
19960.0 0.00013005
19970.0 0.00015753
19980.0 0.00016633
19990.0 0.00016041
20000.0 0.00015106
20010.0 0.00018545
20020.0 0.00011529
20030.0 0.00012726
20040.0 0.00017637
20050.0 0.00017654
20060.0 0.00013131
20070.0 0.00013184
20080.0 0.00010273
20090.0 0.00018875
20100.0 0.00018078
20110.0 0.00014024
20120.0 0.00015569
20130.0 0.00010251
20140.0 0.00016017
20150.0 0.00016465
20160.0 0.00010231
20170.0 0.00017266
20180.0 9.911e-05 
20190.0 0.00011917
20200.0 0.00013961
20210.0 0.00015126
20220.0 0.00016811
20230.0 0.00010912
20240.0 0.00014765
20250.0 0.00010278
20260.0 0.00011778
20270.0 0.00015344
20280.0 9.7316e-05
20290.0 0.00016562
20300.0 0.00010117
20310.0 0.00016767
20320.0 8.4274e-05
20330.0 0.00011096
