#H	G0203
#scanned warm
#Wavelength (Ang) Transmission
16590.0 0.82357   
16600.0 0.8239    
16610.0 0.82451   
16620.0 0.82523   
16630.0 0.82632   
16640.0 0.8277    
16650.0 0.82913   
16660.0 0.83086   
16670.0 0.83299   
16680.0 0.8348    
16690.0 0.83715   
16700.0 0.83939   
16710.0 0.84192   
16720.0 0.84441   
16730.0 0.84702   
16740.0 0.84944   
16750.0 0.85206   
16760.0 0.85446   
16770.0 0.85722   
16780.0 0.85935   
16790.0 0.86147   
16800.0 0.86366   
16810.0 0.86567   
16820.0 0.86755   
16830.0 0.86909   
16840.0 0.87071   
16850.0 0.87198   
16860.0 0.87272   
16870.0 0.87336   
16880.0 0.87376   
16890.0 0.87408   
16900.0 0.87417   
16910.0 0.87397   
16920.0 0.87366   
16930.0 0.87326   
16940.0 0.87254   
16950.0 0.87164   
16960.0 0.87064   
16970.0 0.86939   
16980.0 0.86835   
16990.0 0.86709   
17000.0 0.86578   
17010.0 0.8645    
17020.0 0.86349   
17030.0 0.86226   
17040.0 0.86126   
17050.0 0.86034   
17060.0 0.85959   
17070.0 0.85864   
17080.0 0.85826   
17090.0 0.85786   
17100.0 0.85762   
17110.0 0.85764   
17120.0 0.85773   
17130.0 0.85811   
17140.0 0.85832   
17150.0 0.85863   
17160.0 0.85922   
17170.0 0.85972   
17180.0 0.86016   
17190.0 0.86062   
17200.0 0.86121   
17210.0 0.86155   
17220.0 0.86172   
17230.0 0.86199   
17240.0 0.86185   
17250.0 0.86159   
17260.0 0.86103   
17270.0 0.86029   
17280.0 0.85904   
17290.0 0.85755   
17300.0 0.85593   
17310.0 0.85386   
17320.0 0.8513    
17330.0 0.84867   
17340.0 0.84546   
17350.0 0.84178   
17360.0 0.83815   
17370.0 0.83426   
17380.0 0.83      
17390.0 0.82564   
17400.0 0.82112   
17410.0 0.81667   
17420.0 0.81204   
17430.0 0.80755   
17440.0 0.80337   
17450.0 0.79892   
17460.0 0.79473   
17470.0 0.79098   
17480.0 0.78745   
17490.0 0.78416   
17500.0 0.78127   
17510.0 0.77881   
17520.0 0.7767    
17530.0 0.77519   
17540.0 0.77386   
17550.0 0.77322   
17560.0 0.7729    
17570.0 0.77311   
17580.0 0.77383   
17590.0 0.77488   
17600.0 0.77643   
17610.0 0.77838   
17620.0 0.7809    
17630.0 0.78316   
17640.0 0.78605   
17650.0 0.78949   
17660.0 0.79246   
17670.0 0.7955    
17680.0 0.79883   
17690.0 0.80191   
17700.0 0.8047    
17710.0 0.80705   
17720.0 0.80897   
17730.0 0.81036   
17740.0 0.81081   
17750.0 0.81037   
17760.0 0.809     
17770.0 0.80632   
17780.0 0.80213   
17790.0 0.79684   
17800.0 0.78967   
17810.0 0.78051   
17820.0 0.76955   
17830.0 0.75647   
17840.0 0.74057   
17850.0 0.72271   
17860.0 0.70219   
17870.0 0.67912   
17880.0 0.65281   
17890.0 0.62467   
17900.0 0.5935    
17910.0 0.55988   
17920.0 0.52517   
17930.0 0.48917   
17940.0 0.45194   
17950.0 0.4142    
17960.0 0.37787   
17970.0 0.34086   
17980.0 0.30664   
17990.0 0.2744    
18000.0 0.24344   
18010.0 0.21545   
18020.0 0.18944   
18030.0 0.16621   
18040.0 0.14556   
18050.0 0.12722   
18060.0 0.1107    
18070.0 0.096262  
18080.0 0.083656  
18090.0 0.072785  
18100.0 0.063056  
18110.0 0.054764  
18120.0 0.04758   
18130.0 0.041271  
18140.0 0.035932  
18150.0 0.031422  
18160.0 0.027167  
18170.0 0.023724  
18180.0 0.020907  
18190.0 0.018327  
18200.0 0.016048  
18210.0 0.014027  
18220.0 0.012191  
18230.0 0.01079   
18240.0 0.0095817 
18250.0 0.0085675 
18260.0 0.0075555 
18270.0 0.006701  
18280.0 0.0059922 
18290.0 0.0053234 
18300.0 0.0047756 
18310.0 0.0042173 
18320.0 0.0037658 
18330.0 0.0034211 
18340.0 0.0031209 
18350.0 0.0028288 
18360.0 0.0025369 
18370.0 0.0022919 
18380.0 0.0021165 
18390.0 0.0019448 
18400.0 0.0017656 
18410.0 0.0015962 
18420.0 0.0014365 
18430.0 0.0013539 
18440.0 0.001266  
18450.0 0.0012255 
18460.0 0.00106   
18470.0 0.0010202 
